,Count of Amenities,bathrooms,bedrooms,fee,price,square_feet,costRange,allowedPets
15449,1,1.0,3,0,2125.0,1100,3,0
15451,7,1.0,1,0,2940.0,835,3,1
15452,3,2.0,2,0,1277.0,1353,2,0
15453,3,1.0,1,0,1695.0,616,3,1
15454,2,1.0,1,0,1625.0,835,3,1
15455,3,2.0,2,0,1365.0,1068,2,0
15456,4,2.0,2,0,1550.0,1203,2,0
15457,4,1.0,2,0,1750.0,1090,3,0
15458,3,1.0,1,0,1055.0,625,2,0
15459,4,2.0,2,0,1695.0,1060,2,1
15460,3,1.0,1,0,1105.0,747,2,1
15461,8,1.0,1,0,816.0,675,2,1
15462,3,1.0,1,0,1040.0,640,2,1
15463,2,1.0,1,0,1660.0,800,3,0
15464,0,1.0,1,0,759.0,684,2,0
15465,4,2.0,2,0,1575.0,1286,2,0
15466,4,1.0,1,0,1035.0,625,2,0
15467,6,1.0,1,0,1944.0,790,3,1
15468,0,1.0,1,0,1762.0,669,3,0
15469,2,2.0,2,0,1870.0,1268,3,1
15470,12,1.0,1,0,1870.0,850,3,0
15472,5,1.0,1,0,1205.0,640,2,1
15473,1,1.0,2,0,1100.0,900,1,1
15474,1,2.0,2,0,1529.0,1326,2,0
15475,8,1.0,1,0,764.0,675,2,1
15476,0,1.0,0,0,1250.0,400,3,0
15477,3,1.0,1,0,656.0,700,1,1
15478,7,1.0,2,0,1895.0,573,3,1
15479,12,2.0,2,0,806.0,1048,1,0
15480,3,1.0,1,0,2254.0,755,3,1
15481,0,1.0,1,0,890.0,740,1,0
15482,3,2.0,3,0,880.0,1200,1,1
15483,0,1.0,2,0,1724.0,864,2,0
15484,2,1.0,1,0,1175.0,743,3,0
15485,0,1.0,1,0,1326.0,500,2,1
15486,7,2.0,3,0,1370.0,1467,2,0
15487,3,2.0,2,0,1073.0,1233,2,1
15488,9,2.0,2,0,1495.0,1186,2,1
15489,8,2.0,2,0,1684.0,1145,2,1
15490,5,2.0,3,0,2193.0,1401,3,0
15491,10,1.0,1,0,2340.0,795,3,1
15492,3,1.0,1,0,1040.0,906,2,1
15494,3,1.0,2,0,1430.0,780,2,0
15495,2,1.0,1,0,2155.0,759,3,0
15496,6,1.0,1,0,779.0,630,2,0
15497,10,2.0,2,0,2870.0,1112,3,1
15499,6,1.0,1,0,1275.0,773,2,1
15500,6,1.0,4,0,695.0,1509,1,0
15501,4,1.0,2,0,1595.0,848,3,0
15502,2,1.5,2,0,690.0,1094,1,0
15503,0,1.0,1,0,1179.0,862,2,0
15504,7,1.0,1,0,1520.0,854,3,0
15505,3,1.0,3,0,1350.0,1140,2,0
15506,4,1.0,1,0,1558.0,854,3,1
15507,4,2.0,2,0,1763.0,1068,3,1
15508,3,1.0,2,0,1300.0,715,2,0
15509,5,2.0,2,0,2450.0,929,3,1
15510,4,1.0,1,0,1850.0,800,3,0
15511,12,1.0,1,0,1607.0,749,3,1
15512,8,1.0,2,0,1483.0,804,2,1
15513,4,2.0,2,0,1446.0,925,2,0
15514,9,2.0,2,0,1095.0,1154,2,1
15515,3,2.0,3,0,2415.0,1032,3,0
15516,3,2.0,2,0,1550.0,1297,2,1
15517,5,1.0,1,0,1578.0,713,3,1
15518,3,1.0,1,0,1200.0,600,3,0
15519,1,1.0,2,0,570.0,840,1,1
15520,2,1.0,1,0,500.0,600,1,0
15521,3,2.0,3,0,2277.0,1166,3,0
15523,1,1.0,1,0,2395.0,950,3,0
15526,1,1.0,1,0,1421.0,650,2,0
15527,6,1.0,2,0,1385.0,855,2,1
15528,1,1.0,1,0,1075.0,968,2,1
15529,6,2.0,2,0,1245.0,981,2,0
15531,1,1.0,1,0,1421.0,650,2,1
15532,4,1.0,1,0,819.0,674,2,1
15533,0,1.0,1,0,1145.0,950,2,0
15534,0,1.5,2,0,1055.0,1582,2,0
15535,4,2.0,2,0,1045.0,970,2,1
15536,4,2.0,2,0,1195.0,1061,2,0
15537,1,1.0,1,0,940.0,753,2,0
15538,6,1.0,1,0,1245.0,674,2,1
15539,3,1.0,1,0,1199.0,825,2,0
15540,6,2.0,2,0,1590.0,1550,2,0
15541,6,1.0,1,0,1325.0,970,2,1
15542,3,1.0,1,0,1425.0,759,2,0
15543,7,2.0,2,0,1400.0,960,2,0
15544,1,1.5,2,0,1950.0,1152,3,0
15545,4,2.0,2,0,1582.0,1185,3,0
15546,4,1.0,1,0,800.0,707,1,0
15547,4,1.0,1,0,895.0,707,1,0
15548,7,2.0,2,0,1924.0,949,3,0
15549,3,2.0,2,0,1849.0,1144,2,0
15550,1,1.0,1,0,790.0,628,2,0
15551,2,1.5,2,0,1080.0,1008,2,0
15552,5,1.0,2,0,985.0,885,2,1
15553,3,1.0,1,0,1175.0,860,2,1
15554,8,1.0,1,0,1039.0,650,2,0
15555,10,1.0,1,0,860.0,720,2,0
15556,6,1.0,1,0,1194.0,661,2,0
15557,3,1.0,2,0,1554.0,1035,3,0
15558,6,2.0,2,0,965.0,1058,2,1
15559,2,2.0,2,0,2386.0,1071,3,0
15560,4,1.0,1,0,1395.0,796,3,0
15561,5,1.0,2,0,1175.0,1042,2,0
15562,2,2.0,2,0,2416.0,1071,3,0
15563,6,2.0,2,0,1423.0,1056,2,1
15564,0,1.0,3,0,1245.0,614,2,1
15565,3,1.0,1,0,1913.0,300,3,1
15566,2,1.0,2,0,1700.0,900,3,0
15567,4,1.0,2,0,1440.0,890,3,0
15568,10,1.0,0,0,560.0,520,2,1
15569,4,1.0,1,0,1020.0,748,2,0
15570,4,2.0,2,0,2196.0,1063,3,0
15571,0,1.0,1,0,1224.0,738,2,1
15572,5,1.0,1,0,1231.0,840,2,0
15573,9,1.0,1,0,594.0,762,2,0
15574,2,1.0,1,0,1215.0,775,2,0
15575,6,1.0,2,0,1746.0,705,3,1
15576,7,1.0,1,0,1185.0,724,2,1
15577,7,1.0,2,0,1400.0,975,2,1
15578,15,1.0,1,0,710.0,675,2,1
15579,2,1.0,1,0,1255.0,837,2,1
15580,3,1.0,1,0,999.0,664,2,1
15581,6,1.0,2,0,980.0,825,2,1
15582,2,1.0,1,0,1785.0,726,3,0
15583,3,1.0,1,0,1079.0,468,2,0
15584,3,1.0,1,0,1257.0,912,2,1
15585,2,1.0,1,0,1795.0,726,3,0
15586,9,2.0,2,0,1375.0,1045,2,0
15587,7,1.0,1,0,880.0,800,2,1
15588,9,2.0,2,0,1375.0,1045,2,0
15589,7,1.0,1,0,2545.0,800,3,1
15590,2,2.0,2,0,2731.0,1104,3,0
15591,1,1.0,2,0,600.0,800,1,1
15592,2,2.0,2,0,2256.0,1071,3,0
15593,3,1.0,2,0,1768.0,905,3,0
15594,3,1.0,1,0,1389.0,989,2,0
15595,7,2.0,2,0,1177.0,1224,2,0
15597,2,1.5,2,0,1100.0,950,2,1
15598,7,2.0,2,0,1082.0,1224,2,0
15599,7,1.0,1,0,1043.0,859,2,1
15600,4,1.0,1,0,900.0,703,2,1
15601,4,1.0,3,0,1349.0,1250,2,0
15602,3,2.0,2,0,1335.0,890,2,0
15603,1,1.0,2,0,1100.0,925,2,0
15604,6,3.0,3,0,1000.0,1647,2,1
15605,5,2.0,2,0,2755.0,1182,3,1
15606,5,1.0,2,0,850.0,1000,2,0
15607,4,1.5,2,0,1110.0,1008,2,1
15608,10,1.0,2,0,1645.0,980,3,1
15609,12,2.0,2,0,1279.0,908,2,1
15610,0,2.0,2,0,1220.0,1102,2,1
15611,14,1.0,1,0,2010.0,656,3,0
15612,2,2.0,2,0,2915.0,1242,3,1
15613,2,2.0,2,0,1562.0,1183,2,0
15614,5,1.0,2,0,850.0,1000,2,0
15615,0,1.0,1,0,990.0,773,2,0
15616,1,1.0,2,0,1110.0,937,2,0
15617,2,2.0,2,0,1447.0,1114,2,0
15618,1,2.0,2,0,1580.0,1254,2,0
15620,11,2.0,2,0,1722.0,1187,3,1
15622,14,1.0,1,0,1695.0,900,3,1
15623,3,1.0,2,0,1370.0,1014,3,0
15625,4,1.5,2,0,1420.0,967,2,0
15627,14,1.0,1,0,1475.0,789,3,1
15628,18,1.0,1,0,1352.0,800,2,1
15629,14,1.0,2,0,1425.0,709,3,1
15630,2,1.0,1,0,1339.0,659,3,0
15631,2,1.0,1,0,1260.0,800,2,0
15633,14,1.0,2,0,1470.0,534,3,1
15634,4,1.0,2,0,575.0,850,1,1
15635,0,1.0,1,0,1400.0,687,2,1
15636,7,2.0,2,0,1745.0,1115,2,1
15637,4,1.0,2,0,1050.0,780,2,0
15638,3,1.0,2,0,974.0,780,2,0
15639,14,1.0,1,0,1450.0,785,3,1
15640,2,2.0,2,0,1589.0,1274,2,0
15641,2,2.5,3,0,1200.0,1320,2,0
15642,0,2.0,2,0,1450.0,1210,2,0
15643,1,1.0,1,0,1474.0,630,3,0
15644,2,1.0,1,0,970.0,812,1,0
15645,6,2.0,2,0,1753.0,984,3,1
15646,2,1.0,1,0,959.0,552,2,0
15647,3,1.0,2,0,1410.0,966,3,1
15648,4,2.0,2,0,1125.0,1108,1,0
15649,4,1.0,2,0,974.0,720,2,0
15650,2,2.0,2,0,781.0,830,1,1
15651,14,1.0,1,0,1645.0,825,3,1
15652,8,1.0,2,0,1249.0,875,2,1
15653,2,1.0,1,0,1615.0,960,3,0
15654,2,1.0,1,0,650.0,603,1,1
15655,4,1.0,1,0,820.0,410,2,0
15656,7,1.0,1,0,862.0,673,2,0
15657,3,2.0,2,0,2256.0,925,3,0
15658,3,1.0,1,0,1659.0,660,3,0
15659,2,1.0,1,0,602.0,510,1,1
15660,5,2.0,3,0,1050.0,1355,2,1
15661,6,1.5,2,0,840.0,1022,2,1
15662,12,1.0,1,0,989.0,706,1,1
15663,4,2.0,2,0,1702.0,1150,2,0
15664,3,2.0,2,0,2383.0,1175,3,0
15665,2,2.0,3,0,1720.0,1200,3,0
15666,3,1.0,1,0,1576.0,780,3,0
15667,4,1.0,1,0,1338.0,768,2,0
15668,2,2.0,2,0,1725.0,1082,2,0
15669,1,1.0,1,0,1287.0,837,2,0
15670,3,2.0,2,0,940.0,1105,1,1
15671,12,1.0,1,0,2140.0,727,3,1
15672,12,2.0,2,0,1420.0,1314,2,1
15674,8,1.0,1,0,840.0,752,2,1
15676,12,2.0,3,0,1140.0,1225,1,1
15677,1,1.0,1,0,800.0,750,2,0
15679,0,1.0,2,0,1100.0,900,2,0
15680,8,3.0,4,0,1032.0,1393,1,0
15681,3,1.0,0,0,679.0,340,2,0
15682,1,2.0,3,0,2895.0,1267,3,0
15683,5,1.0,2,0,974.0,750,2,0
15684,7,2.0,2,0,1095.0,1020,2,1
15685,8,2.0,2,0,1333.0,1034,2,1
15686,7,2.0,2,0,1060.0,960,2,1
15687,8,1.0,1,0,1375.0,600,3,0
15688,7,1.0,1,0,845.0,782,2,1
15689,2,2.0,2,0,2795.0,993,3,1
15690,3,1.0,1,0,1180.0,765,2,1
15691,9,2.0,2,0,979.0,915,2,1
15692,4,2.0,2,0,825.0,960,1,0
15693,12,1.0,1,0,1047.0,687,2,1
15694,12,1.0,1,0,1027.0,687,2,1
15695,5,2.0,2,0,825.0,938,1,0
15696,10,2.0,2,0,979.0,915,2,1
15697,11,1.0,1,0,931.0,770,2,1
15698,1,1.0,1,0,1100.0,405,2,0
15699,0,2.0,2,0,2007.0,1170,3,0
15700,4,1.0,1,0,1445.0,830,3,0
15701,2,1.0,2,0,1000.0,830,2,0
15702,5,2.0,2,0,825.0,938,1,0
15703,5,1.0,2,0,1375.0,452,3,0
15704,0,2.0,2,0,1075.0,450,2,0
15705,7,1.5,2,0,1383.0,1087,3,1
15706,5,1.0,2,0,1550.0,1174,2,0
15707,0,1.0,1,0,915.0,676,2,0
15708,2,2.0,2,0,2903.0,1096,3,0
15709,3,2.0,2,0,1300.0,1098,2,0
15710,3,2.0,3,0,2600.0,1200,3,0
15711,1,2.0,2,0,1758.0,1018,2,0
15712,7,2.0,2,0,1934.0,1029,2,1
15714,2,1.0,1,0,670.0,575,2,0
15715,9,1.0,1,0,2701.0,831,3,1
15716,1,1.0,2,0,950.0,900,2,1
15717,6,1.5,1,0,2325.0,791,3,1
15718,1,1.0,1,0,830.0,595,2,1
15719,0,1.0,2,0,1275.0,580,2,1
15720,5,1.0,2,0,1980.0,862,3,0
15721,5,2.0,2,0,2280.0,972,3,0
15722,9,1.0,1,0,1385.0,882,3,1
15723,10,2.0,2,0,1485.0,1089,2,1
15724,2,1.0,2,0,1861.0,1100,3,0
15725,14,1.0,2,0,1350.0,1100,2,0
15726,1,1.0,2,0,2230.0,405,3,0
15727,5,2.0,2,0,1900.0,1283,3,1
15728,7,1.0,1,0,1691.0,762,3,0
15729,1,1.0,2,0,1215.0,700,2,0
15730,2,2.0,2,0,1375.0,800,2,0
15731,5,2.0,2,0,2010.0,1141,3,1
15732,2,1.0,1,0,2790.0,750,3,1
15733,0,1.0,1,0,1475.0,510,3,1
15734,8,1.0,1,0,1890.0,955,3,1
15736,7,1.5,1,0,855.0,846,2,1
15737,5,1.0,1,0,2000.0,560,3,0
15738,1,1.0,1,0,2015.0,1163,3,0
15740,1,1.0,1,0,1020.0,855,2,0
15741,2,1.0,1,0,625.0,493,1,0
15742,1,1.0,2,0,1668.0,890,3,0
15743,0,1.0,2,0,1114.0,1030,2,0
15744,4,2.0,3,0,1780.0,1375,2,1
15745,10,1.0,1,0,1790.0,760,3,1
15746,1,1.0,1,0,1785.0,680,3,0
15747,4,1.0,1,0,2325.0,938,3,0
15748,3,2.0,2,0,2280.0,997,3,1
15749,6,1.0,1,0,1310.0,648,2,0
15750,1,2.0,2,0,1820.0,1154,2,0
15751,2,1.0,0,0,1675.0,585,3,0
15752,0,1.0,2,0,1810.0,850,2,1
15754,7,1.0,1,0,1095.0,784,2,1
15755,9,1.0,1,0,1305.0,890,2,1
15756,7,1.0,2,0,1850.0,1000,3,0
15757,2,1.0,1,0,1300.0,630,3,1
15758,7,1.0,2,0,1925.0,1000,3,0
15759,7,1.0,2,0,1850.0,1000,3,0
15760,8,1.0,1,0,1849.0,748,3,0
15761,11,2.0,2,0,2170.0,1156,3,0
15762,8,2.0,2,0,2199.0,1091,3,0
15763,4,1.0,2,0,1400.0,1500,2,0
15764,6,1.5,2,0,1130.0,1038,2,0
15765,6,1.0,2,0,960.0,900,2,1
15766,4,1.0,2,0,2225.0,1133,3,0
15767,8,1.0,1,0,1839.0,708,3,0
15768,3,1.0,2,0,1257.0,985,2,1
15769,1,1.0,1,0,1545.0,658,3,0
15770,5,2.0,2,0,1119.0,1080,2,0
15771,8,2.0,2,0,1010.0,875,2,1
15772,8,2.0,1,0,2240.0,1160,3,1
15773,9,1.0,1,0,1175.0,851,2,1
15774,12,1.0,1,0,856.0,675,2,1
15775,3,2.0,2,0,1710.0,1104,2,0
15776,2,2.0,2,0,1195.0,1081,2,0
15777,4,2.0,2,0,1984.0,1291,2,0
15778,3,2.0,2,0,1620.0,1014,2,0
15779,9,2.0,2,0,1318.0,1214,2,1
15780,0,2.0,2,0,2905.0,1013,3,0
15781,6,2.0,2,0,1630.0,1130,2,0
15782,3,1.0,2,0,1230.0,536,2,0
15784,0,2.5,3,0,2445.0,1590,2,0
15785,4,1.0,2,0,1900.0,1200,3,0
15786,8,1.0,1,0,1869.0,748,3,0
15787,2,2.0,3,0,2065.0,1238,3,0
15788,2,1.0,1,0,1595.0,689,2,0
15789,4,1.0,2,0,1430.0,820,2,0
15790,6,2.0,2,0,1859.0,1034,3,0
15791,3,2.0,2,0,1792.0,1120,3,1
15792,3,1.0,1,0,1170.0,680,2,0
15793,0,1.0,2,0,1025.0,731,2,1
15794,0,1.0,1,0,1920.0,753,3,0
15795,10,1.0,1,0,702.0,826,1,0
15796,4,1.0,1,0,815.0,622,2,0
15798,1,2.0,2,0,1927.0,1203,3,0
15799,1,1.0,2,0,1334.0,865,3,1
15800,10,2.0,3,0,1214.0,1392,2,1
15801,7,1.0,1,0,2385.0,870,3,1
15802,10,1.0,1,0,845.0,558,2,1
15803,2,1.0,1,0,1785.0,990,3,0
15804,3,1.0,1,0,1453.0,702,2,0
15805,4,2.0,2,0,1819.0,1141,2,1
15806,1,1.0,1,0,1022.0,678,2,0
15807,1,1.0,1,0,1350.0,756,2,0
15808,10,2.0,3,0,1285.0,1422,2,1
15809,5,1.0,3,0,1203.0,660,2,0
15810,3,1.0,1,0,741.0,525,2,0
15811,6,1.0,1,0,1056.0,850,2,1
15813,0,1.0,2,0,880.0,920,2,0
15814,1,1.0,1,0,1125.0,918,2,0
15815,1,1.0,2,0,2068.0,396,3,1
15816,2,1.0,1,0,985.0,763,2,1
15817,10,1.0,1,0,768.0,575,2,1
15818,0,1.5,2,0,695.0,1045,1,0
15819,4,2.5,3,0,910.0,1205,2,1
15820,3,2.0,2,0,1525.0,1123,3,0
15822,6,1.0,1,0,826.0,720,2,1
15823,4,2.0,2,0,1806.0,1036,3,0
15824,6,1.0,1,0,906.0,720,2,1
15825,7,1.0,1,0,1325.0,693,3,1
15826,4,1.0,2,0,975.0,910,2,0
15827,4,1.0,1,0,1350.0,584,2,0
15828,0,1.0,2,0,729.0,400,2,1
15829,0,1.0,2,0,899.0,912,2,1
15830,0,2.0,2,0,1285.0,975,2,0
15831,14,1.0,1,0,1295.0,786,2,1
15832,4,1.0,1,0,1000.0,700,3,0
15833,0,1.0,1,0,2100.0,739,3,0
15834,5,2.0,2,0,1294.0,1223,2,0
15835,6,2.0,2,0,1062.0,996,2,1
15836,8,2.0,2,0,1314.0,1223,2,0
15837,7,2.0,3,0,1563.0,1502,2,0
15838,4,2.0,2,0,1534.0,1017,2,0
15839,5,1.0,1,0,1064.0,865,2,1
15840,6,1.0,1,0,891.0,676,2,1
15841,3,2.0,2,0,1540.0,1061,3,1
15844,0,1.0,1,0,1700.0,650,3,1
15845,2,2.0,3,0,1121.0,1162,2,1
15846,3,1.0,1,0,1419.0,815,2,1
15847,1,2.0,3,0,2945.0,1564,3,0
15848,12,1.0,2,0,1110.0,890,2,0
15849,6,1.0,1,0,1535.0,780,3,1
15850,12,2.0,2,0,1069.0,924,1,1
15851,7,1.0,2,0,647.0,900,1,1
15852,7,1.0,1,0,1473.0,797,3,1
15853,3,1.0,2,0,1870.0,1020,3,0
15854,5,2.0,2,0,1503.0,1000,2,1
15855,4,1.0,2,0,2250.0,1487,3,0
15856,3,1.0,1,0,1019.0,783,2,0
15857,1,1.0,3,0,1950.0,1300,3,0
15858,1,1.0,1,0,1540.0,659,2,0
15859,5,1.0,1,0,1300.0,644,2,0
15861,7,2.0,2,0,1638.0,970,3,0
15862,2,1.0,2,0,1575.0,551,3,0
15863,6,2.0,2,0,2370.0,1161,3,0
15864,7,1.0,1,0,1650.0,813,3,1
15865,4,2.0,2,0,2105.0,1058,3,1
15866,2,2.0,2,0,2050.0,1168,3,1
15867,0,2.0,3,0,940.0,1260,1,0
15868,3,1.0,1,0,1028.0,636,2,0
15869,4,2.0,2,0,2843.0,1514,3,0
15870,5,1.5,2,0,770.0,875,1,0
15871,2,2.0,3,0,1879.0,1336,2,0
15872,9,1.0,1,0,794.0,571,2,0
15873,5,2.0,3,0,1270.0,1270,2,1
15874,1,2.0,3,0,1410.0,1295,2,0
15875,1,2.0,2,0,1870.0,1142,3,1
15877,4,1.0,1,0,919.0,820,2,0
15878,4,2.0,2,0,849.0,900,2,0
15880,15,2.0,2,0,2685.0,1139,3,1
15881,14,1.0,1,0,2215.0,480,3,1
15882,3,1.0,2,0,765.0,841,1,1
15884,3,2.0,2,0,795.0,930,1,1
15885,1,1.0,1,0,2075.0,747,3,0
15886,2,1.0,1,0,1375.0,864,2,0
15887,4,1.0,1,0,1930.0,851,3,0
15888,2,2.0,2,0,1765.0,1239,2,0
15889,5,1.0,1,0,1159.0,927,2,0
15890,3,1.0,2,0,1600.0,900,3,0
15891,5,2.0,2,0,1234.0,1082,2,0
15892,2,1.0,1,0,1400.0,999,2,0
15893,3,2.0,4,0,991.0,1296,2,0
15894,3,2.0,2,0,1333.0,1065,2,0
15895,6,2.0,2,0,2040.0,992,3,1
15896,1,2.0,3,0,680.0,1040,1,0
15897,4,1.0,3,0,1200.0,1200,2,0
15898,0,1.0,1,0,1398.0,735,3,0
15899,2,2.0,2,0,1109.0,1069,2,0
15900,5,1.0,1,0,1082.0,839,2,0
15901,3,1.0,1,0,1320.0,856,2,0
15902,3,2.0,2,0,1645.0,1121,2,0
15903,8,1.0,2,0,1100.0,950,2,1
15904,7,2.0,2,0,980.0,905,2,0
15905,2,1.0,1,0,889.0,782,2,0
15906,7,1.0,1,0,750.0,620,2,1
15907,2,1.0,1,0,1695.0,700,3,0
15908,14,1.0,1,0,830.0,841,2,1
15909,11,2.0,2,0,1555.0,1150,2,1
15910,5,2.0,2,0,1270.0,1100,2,0
15911,0,1.0,1,0,779.0,713,1,0
15912,0,1.0,1,0,1070.0,667,2,0
15913,1,1.0,1,0,1095.0,659,2,0
15914,8,2.0,2,0,1150.0,918,2,0
15915,3,1.0,1,0,2345.0,727,3,0
15916,10,2.0,2,0,1200.0,1130,2,1
15917,9,2.0,3,0,1530.0,1475,2,1
15918,0,1.0,1,0,1145.0,685,2,0
15919,9,1.0,1,0,980.0,817,2,1
15920,4,1.0,2,0,1329.0,861,2,1
15921,6,2.0,2,0,1210.0,1056,2,0
15922,7,1.0,1,0,1750.0,600,3,0
15927,3,2.0,2,0,1615.0,1085,2,1
15928,4,2.0,2,0,975.0,941,2,0
15929,1,1.0,2,0,725.0,825,1,0
15930,4,1.0,1,0,1067.0,806,2,0
15931,4,2.0,2,0,1600.0,1100,2,0
15932,8,1.0,1,0,919.0,820,2,1
15933,0,2.5,2,0,1595.0,1337,2,0
15934,2,2.0,3,0,1485.0,1198,2,0
15935,10,1.0,2,0,1350.0,850,3,1
15936,2,1.0,1,0,1625.0,901,3,1
15937,5,1.0,1,0,2650.0,873,3,1
15938,1,1.0,2,0,1700.0,1139,2,0
15939,2,1.0,1,0,900.0,600,2,0
15940,2,2.0,2,0,1700.0,980,2,0
15942,12,2.0,2,0,1060.0,1120,2,1
15943,3,1.5,2,0,795.0,780,1,0
15944,3,1.0,1,0,695.0,560,1,0
15945,9,2.0,3,0,1922.0,1300,2,1
15946,7,1.0,1,0,1365.0,750,2,0
15947,0,1.0,3,0,1950.0,1164,3,0
15948,2,1.0,1,0,1094.0,730,2,0
15950,2,2.5,3,0,2100.0,1600,3,0
15951,5,2.0,2,0,1550.0,930,3,0
15952,3,1.0,1,0,695.0,560,1,0
15953,2,2.0,2,0,1416.0,1040,2,1
15954,4,1.0,1,0,1363.0,756,2,0
15955,3,1.0,1,0,695.0,560,1,0
15956,9,2.0,2,0,1449.0,1040,2,1
15957,5,1.0,1,0,1370.0,880,3,0
15958,4,1.0,1,0,1392.0,881,2,0
15959,4,1.0,1,0,1286.0,790,2,0
15960,4,1.0,1,0,1541.0,840,2,0
15961,4,1.0,1,0,1130.0,537,2,0
15962,5,2.0,2,0,689.0,467,1,0
15963,2,2.0,2,0,975.0,925,2,0
15964,2,2.0,2,0,2110.0,1118,3,0
15965,2,1.0,2,0,1005.0,475,3,0
15966,1,1.0,1,0,1188.0,685,3,1
15967,2,2.0,3,0,1860.0,1446,2,0
15968,2,2.0,2,0,1610.0,1286,2,0
15969,3,2.0,2,0,689.0,467,1,0
15970,2,1.0,2,0,1411.0,899,3,0
15971,2,1.0,1,0,1272.0,639,3,0
15972,7,1.0,2,0,1525.0,819,3,0
15973,12,1.0,1,0,1040.0,525,3,1
15974,5,1.0,3,0,2455.0,1408,3,0
15975,3,1.0,1,0,918.0,866,2,1
15976,1,1.0,2,0,1350.0,1075,3,0
15977,2,1.0,1,0,1673.0,621,3,0
15978,1,1.0,1,0,1127.0,685,3,0
15980,3,1.0,1,0,1865.0,786,3,1
15981,4,2.0,3,0,1699.0,1197,2,0
15982,1,1.0,1,0,819.0,576,2,0
15983,0,1.0,1,0,1335.0,817,3,0
15984,4,2.0,2,0,1634.0,1355,2,0
15985,1,1.0,1,0,1779.0,783,3,0
15986,1,2.0,2,0,2036.0,1037,3,0
15987,5,2.0,2,0,1130.0,1130,2,0
15988,5,2.0,3,0,1680.0,1462,2,0
15989,1,2.0,2,0,1291.0,1096,2,0
15990,3,1.0,1,0,685.0,650,2,0
15991,3,1.0,2,0,799.0,864,2,1
15992,6,1.0,1,0,907.0,685,2,1
15993,8,1.0,1,0,973.0,771,2,0
15994,3,1.0,1,0,1710.0,635,3,1
15995,6,2.0,2,0,1173.0,935,2,1
15996,1,1.0,3,0,2599.0,1363,3,1
15997,5,1.0,1,0,1110.0,627,3,1
15998,9,1.0,1,0,1276.0,706,3,1
15999,3,2.0,3,0,2630.0,1413,3,1
16000,9,2.0,2,0,2780.0,1015,3,1
16001,4,1.0,2,0,900.0,995,2,0
16002,6,2.5,2,0,1275.0,1098,2,1
16003,11,1.0,1,0,1319.0,566,2,1
16004,7,2.0,2,0,1741.0,1209,3,1
16005,8,2.0,2,0,1484.0,1145,3,1
16006,11,1.0,1,0,1480.0,676,2,1
16007,4,2.0,3,0,1275.0,1351,2,0
16008,1,1.0,1,0,2159.0,825,3,0
16009,7,1.0,2,0,1400.0,685,2,0
16010,1,2.0,2,0,2895.0,900,3,0
16011,3,2.0,2,0,1353.0,1078,2,1
16012,14,2.0,2,0,1820.0,1141,3,1
16013,3,1.0,1,0,1601.0,813,3,0
16014,7,1.0,1,0,1400.0,558,2,0
16015,9,1.0,1,0,1650.0,1030,2,0
16016,3,1.0,1,0,900.0,692,2,1
16017,1,1.0,1,0,880.0,754,2,0
16018,5,1.0,1,0,1372.0,759,3,1
16019,10,1.0,1,0,1535.0,529,3,0
16020,3,2.0,2,0,2898.0,900,3,0
16021,7,1.0,3,0,1899.0,1161,2,1
16023,0,1.0,1,0,1630.0,725,3,1
16024,3,2.0,2,0,2736.0,1286,3,0
16025,4,1.5,1,0,929.0,1065,2,0
16027,14,2.0,2,0,1835.0,1156,3,1
16028,2,1.0,1,0,745.0,653,2,1
16029,7,2.0,3,0,1969.0,1333,3,1
16030,3,1.0,1,0,1485.0,740,2,0
16031,0,1.0,1,0,1971.0,830,3,1
16032,2,2.0,2,0,1368.0,1123,2,0
16033,2,2.0,2,0,1368.0,1123,2,1
16034,2,1.0,1,0,780.0,629,2,1
16035,3,1.0,0,0,1498.0,450,3,0
16036,3,1.0,2,0,1690.0,769,3,0
16037,7,1.0,2,0,1200.0,1060,2,0
16039,3,1.0,1,0,660.0,740,2,1
16040,2,1.0,2,0,1710.0,900,3,0
16041,3,1.0,1,0,660.0,740,2,1
16042,5,2.0,2,0,1013.0,1027,2,1
16043,12,2.0,2,0,2955.0,960,3,1
16044,2,1.0,2,0,1810.0,1000,3,1
16045,6,1.0,2,0,1309.0,1134,2,1
16046,6,1.0,1,0,883.0,748,2,1
16047,5,2.0,2,0,1800.0,1077,2,1
16048,3,1.0,1,0,1197.0,888,2,1
16049,15,1.0,3,0,2225.0,551,3,1
16050,6,2.0,2,0,2549.0,897,3,0
16051,2,2.0,2,0,850.0,833,2,1
16052,1,1.0,1,0,1415.0,717,3,0
16053,0,2.0,2,0,1165.0,946,2,1
16054,3,2.0,2,0,1832.0,1200,3,1
16055,1,1.0,1,0,1462.0,657,2,0
16056,0,1.0,1,0,1550.0,725,3,1
16057,8,2.0,2,0,1318.0,885,3,0
16058,3,2.0,2,0,1615.0,1183,2,0
16059,1,2.0,2,0,1120.0,1245,2,0
16060,3,2.0,2,0,1320.0,896,2,0
16061,8,1.0,2,0,1442.0,885,3,0
16062,3,1.0,1,0,1375.0,799,2,0
16063,1,1.0,1,0,1425.0,717,3,0
16064,6,1.0,1,0,1750.0,550,3,0
16065,1,1.0,1,0,1490.0,776,3,0
16066,4,1.0,1,0,875.0,1001,1,1
16067,1,1.0,1,0,1168.0,600,2,1
